date,product_id,stock,product_name,category,type,is_active,avg_daily_demand,coverage_days,stock_status
2020-01-01,FAN_STD,204,Fan,Cooling,Standard,True,85.31910235358511,2.39,Critical
2020-01-01,EX_FLAT,330,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,2.64,Critical
2020-01-01,EX_POLY,570,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-01,EX_CIRC,264,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,3.17,Critical
2020-01-01,AF_5,600,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,15.25,Healthy
2020-01-01,AF_75,326,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,2.67,Critical
2020-01-01,BL_CHOP,233,Chopper Blender,Kitchen,Blender,True,121.46524356869185,1.92,Critical
2020-01-01,BL_KIT,399,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,5.09,Low
2020-01-01,BL_IND,169,Industrial Blender,Industrial,Blender,True,38.551176792556106,4.38,Critical
2020-01-01,ESP,959,Espresso Machine,Kitchen,Coffee,True,82.60974274767378,11.61,Low
2020-01-01,SW,688,Sandwich Maker,Kitchen,Heating,True,44.36015325670498,15.51,Healthy
2020-01-01,MX_KIT,938,Kitchen Mixer,Kitchen,Mixer,False,0.0,,Healthy
2020-01-01,MX_IND,905,Industrial Mixer,Industrial,Mixer,True,164.83579638752053,5.49,Low
2020-01-02,FAN_STD,707,Fan,Cooling,Standard,True,85.31910235358511,8.29,Low
2020-01-02,EX_FLAT,930,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,7.44,Low
2020-01-02,EX_POLY,473,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-02,EX_CIRC,825,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,9.92,Low
2020-01-02,AF_5,198,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,5.03,Low
2020-01-02,AF_75,339,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,2.78,Critical
2020-01-02,BL_CHOP,395,Chopper Blender,Kitchen,Blender,True,121.46524356869185,3.25,Critical
2020-01-02,BL_KIT,281,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,3.58,Critical
2020-01-02,BL_IND,507,Industrial Blender,Industrial,Blender,True,38.551176792556106,13.15,Low
2020-01-02,ESP,708,Espresso Machine,Kitchen,Coffee,True,82.60974274767378,8.57,Low
2020-01-02,SW,100,Sandwich Maker,Kitchen,Heating,True,44.36015325670498,2.25,Critical
2020-01-02,MX_KIT,920,Kitchen Mixer,Kitchen,Mixer,False,0.0,,Healthy
2020-01-02,MX_IND,951,Industrial Mixer,Industrial,Mixer,True,164.83579638752053,5.77,Low
2020-01-03,FAN_STD,874,Fan,Cooling,Standard,True,85.31910235358511,10.24,Low
2020-01-03,EX_FLAT,146,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,1.17,Critical
2020-01-03,EX_POLY,142,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-03,EX_CIRC,741,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,8.91,Low
2020-01-03,AF_5,905,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,23.01,Healthy
2020-01-03,AF_75,853,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,7.0,Low
2020-01-03,BL_CHOP,387,Chopper Blender,Kitchen,Blender,True,121.46524356869185,3.19,Critical
2020-01-03,BL_KIT,424,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,5.41,Low
2020-01-03,BL_IND,267,Industrial Blender,Industrial,Blender,True,38.551176792556106,6.93,Low
2020-01-03,ESP,396,Espresso Machine,Kitchen,Coffee,True,82.60974274767378,4.79,Critical
2020-01-03,SW,719,Sandwich Maker,Kitchen,Heating,True,44.36015325670498,16.21,Healthy
2020-01-03,MX_KIT,741,Kitchen Mixer,Kitchen,Mixer,False,0.0,,Healthy
2020-01-03,MX_IND,654,Industrial Mixer,Industrial,Mixer,True,164.83579638752053,3.97,Critical
2020-01-04,FAN_STD,982,Fan,Cooling,Standard,True,85.31910235358511,11.51,Low
2020-01-04,EX_FLAT,870,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,6.96,Low
2020-01-04,EX_POLY,689,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-04,EX_CIRC,469,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,5.64,Low
2020-01-04,AF_5,825,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,20.97,Healthy
2020-01-04,AF_75,810,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,6.64,Low
2020-01-04,BL_CHOP,519,Chopper Blender,Kitchen,Blender,True,121.46524356869185,4.27,Critical
2020-01-04,BL_KIT,437,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,5.57,Low
2020-01-04,BL_IND,708,Industrial Blender,Industrial,Blender,True,38.551176792556106,18.37,Healthy
2020-01-04,ESP,555,Espresso Machine,Kitchen,Coffee,True,82.60974274767378,6.72,Low
2020-01-04,SW,626,Sandwich Maker,Kitchen,Heating,True,44.36015325670498,14.11,Healthy
2020-01-04,MX_KIT,610,Kitchen Mixer,Kitchen,Mixer,False,0.0,,Healthy
2020-01-04,MX_IND,706,Industrial Mixer,Industrial,Mixer,True,164.83579638752053,4.28,Critical
2020-01-05,FAN_STD,351,Fan,Cooling,Standard,True,85.31910235358511,4.11,Critical
2020-01-05,EX_FLAT,127,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,1.02,Critical
2020-01-05,EX_POLY,475,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-05,EX_CIRC,791,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,9.51,Low
2020-01-05,AF_5,809,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,20.56,Healthy
2020-01-05,AF_75,143,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,1.17,Critical
2020-01-05,BL_CHOP,647,Chopper Blender,Kitchen,Blender,True,121.46524356869185,5.33,Low
2020-01-05,BL_KIT,971,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,12.38,Low
2020-01-05,BL_IND,601,Industrial Blender,Industrial,Blender,True,38.551176792556106,15.59,Healthy
2020-01-05,ESP,876,Espresso Machine,Kitchen,Coffee,True,82.60974274767378,10.6,Low
2020-01-05,SW,266,Sandwich Maker,Kitchen,Heating,True,44.36015325670498,6.0,Low
2020-01-05,MX_KIT,551,Kitchen Mixer,Kitchen,Mixer,False,0.0,,Healthy
2020-01-05,MX_IND,285,Industrial Mixer,Industrial,Mixer,True,164.83579638752053,1.73,Critical
2020-01-06,FAN_STD,266,Fan,Cooling,Standard,True,85.31910235358511,3.12,Critical
2020-01-06,EX_FLAT,332,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,2.66,Critical
2020-01-06,EX_POLY,855,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-06,EX_CIRC,796,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,9.57,Low
2020-01-06,AF_5,308,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,7.83,Low
2020-01-06,AF_75,854,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,7.0,Low
2020-01-06,BL_CHOP,436,Chopper Blender,Kitchen,Blender,True,121.46524356869185,3.59,Critical
2020-01-06,BL_KIT,243,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,3.1,Critical
2020-01-06,BL_IND,824,Industrial Blender,Industrial,Blender,True,38.551176792556106,21.37,Healthy
2020-01-06,ESP,195,Espresso Machine,Kitchen,Coffee,True,82.60974274767378,2.36,Critical
2020-01-06,SW,120,Sandwich Maker,Kitchen,Heating,True,44.36015325670498,2.71,Critical
2020-01-06,MX_KIT,176,Kitchen Mixer,Kitchen,Mixer,False,0.0,,Healthy
2020-01-06,MX_IND,456,Industrial Mixer,Industrial,Mixer,True,164.83579638752053,2.77,Critical
2020-01-07,FAN_STD,350,Fan,Cooling,Standard,True,85.31910235358511,4.1,Critical
2020-01-07,EX_FLAT,244,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,1.95,Critical
2020-01-07,EX_POLY,215,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-07,EX_CIRC,377,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,4.53,Critical
2020-01-07,AF_5,648,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,16.47,Healthy
2020-01-07,AF_75,547,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,4.49,Critical
2020-01-07,BL_CHOP,660,Chopper Blender,Kitchen,Blender,True,121.46524356869185,5.43,Low
2020-01-07,BL_KIT,480,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,6.12,Low
2020-01-07,BL_IND,224,Industrial Blender,Industrial,Blender,True,38.551176792556106,5.81,Low
2020-01-07,ESP,400,Espresso Machine,Kitchen,Coffee,True,82.60974274767378,4.84,Critical
2020-01-07,SW,334,Sandwich Maker,Kitchen,Heating,True,44.36015325670498,7.53,Low
2020-01-07,MX_KIT,629,Kitchen Mixer,Kitchen,Mixer,False,0.0,,Healthy
2020-01-07,MX_IND,359,Industrial Mixer,Industrial,Mixer,True,164.83579638752053,2.18,Critical
2020-01-08,FAN_STD,583,Fan,Cooling,Standard,True,85.31910235358511,6.83,Low
2020-01-08,EX_FLAT,267,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,2.14,Critical
2020-01-08,EX_POLY,277,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-08,EX_CIRC,798,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,9.59,Low
2020-01-08,AF_5,357,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,9.08,Low
2020-01-08,AF_75,680,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,5.58,Low
2020-01-08,BL_CHOP,278,Chopper Blender,Kitchen,Blender,True,121.46524356869185,2.29,Critical
2020-01-08,BL_KIT,328,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,4.18,Critical
2020-01-08,BL_IND,581,Industrial Blender,Industrial,Blender,True,38.551176792556106,15.07,Healthy
2020-01-08,ESP,327,Espresso Machine,Kitchen,Coffee,True,82.60974274767378,3.96,Critical
2020-01-08,SW,732,Sandwich Maker,Kitchen,Heating,True,44.36015325670498,16.5,Healthy
2020-01-08,MX_KIT,426,Kitchen Mixer,Kitchen,Mixer,False,0.0,,Healthy
2020-01-08,MX_IND,716,Industrial Mixer,Industrial,Mixer,True,164.83579638752053,4.34,Critical
2020-01-09,FAN_STD,322,Fan,Cooling,Standard,True,85.31910235358511,3.77,Critical
2020-01-09,EX_FLAT,944,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,7.55,Low
2020-01-09,EX_POLY,196,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-09,EX_CIRC,832,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,10.0,Low
2020-01-09,AF_5,686,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,17.44,Healthy
2020-01-09,AF_75,431,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,3.54,Critical
2020-01-09,BL_CHOP,768,Chopper Blender,Kitchen,Blender,True,121.46524356869185,6.32,Low
2020-01-09,BL_KIT,794,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,10.12,Low
2020-01-09,BL_IND,830,Industrial Blender,Industrial,Blender,True,38.551176792556106,21.53,Healthy
2020-01-09,ESP,766,Espresso Machine,Kitchen,Coffee,True,82.60974274767378,9.27,Low
2020-01-09,SW,338,Sandwich Maker,Kitchen,Heating,True,44.36015325670498,7.62,Low
2020-01-09,MX_KIT,880,Kitchen Mixer,Kitchen,Mixer,False,0.0,,Healthy
2020-01-09,MX_IND,295,Industrial Mixer,Industrial,Mixer,True,164.83579638752053,1.79,Critical
2020-01-10,FAN_STD,558,Fan,Cooling,Standard,True,85.31910235358511,6.54,Low
2020-01-10,EX_FLAT,372,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,2.97,Critical
2020-01-10,EX_POLY,779,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-10,EX_CIRC,794,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,9.55,Low
2020-01-10,AF_5,478,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,12.15,Low
2020-01-10,AF_75,497,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,4.08,Critical
2020-01-10,BL_CHOP,576,Chopper Blender,Kitchen,Blender,True,121.46524356869185,4.74,Critical
2020-01-10,BL_KIT,446,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,5.69,Low
2020-01-10,BL_IND,955,Industrial Blender,Industrial,Blender,True,38.551176792556106,24.77,Healthy
2020-01-10,ESP,845,Espresso Machine,Kitchen,Coffee,True,82.60974274767378,10.23,Low
2020-01-10,SW,102,Sandwich Maker,Kitchen,Heating,True,44.36015325670498,2.3,Critical
2020-01-10,MX_KIT,104,Kitchen Mixer,Kitchen,Mixer,False,0.0,,Healthy
2020-01-10,MX_IND,920,Industrial Mixer,Industrial,Mixer,True,164.83579638752053,5.58,Low
2020-01-11,FAN_STD,560,Fan,Cooling,Standard,True,85.31910235358511,6.56,Low
2020-01-11,EX_FLAT,855,Exhaust Flat,Cooling,Exhaust,True,125.04378762999453,6.84,Low
2020-01-11,EX_POLY,537,Exhaust Polygon,Cooling,Exhaust,False,0.0,,Healthy
2020-01-11,EX_CIRC,232,Exhaust Circular,Cooling,Exhaust,True,83.18117131910235,2.79,Critical
2020-01-11,AF_5,453,Air Fryer 5L,Kitchen,AirFryer,True,39.338806787082646,11.52,Low
2020-01-11,AF_75,595,Air Fryer 7.5L,Kitchen,AirFryer,True,121.91297208538587,4.88,Critical
2020-01-11,BL_CHOP,938,Chopper Blender,Kitchen,Blender,True,121.46524356869185,7.72,Low
2020-01-11,BL_KIT,620,Kitchen Blender,Kitchen,Blender,True,78.44444444444444,7.9,Low
