date,product_id,planned,actual,utilization,delay,utilization_pct,product_name,category,is_active,efficiency_pct,unused_capacity,is_delayed
2020-01-01,FAN_STD,48,46,0.67,1,67.0,Fan,Cooling,True,95.83,2,True
2020-01-01,EX_FLAT,55,53,0.63,1,63.0,Exhaust Flat,Cooling,True,96.36,2,True
2020-01-01,EX_POLY,47,47,0.82,0,82.0,Exhaust Polygon,Cooling,False,100.0,0,False
2020-01-01,EX_CIRC,46,42,0.86,1,86.0,Exhaust Circular,Cooling,True,91.3,4,True
2020-01-01,AF_5,53,53,0.73,0,73.0,Air Fryer 5L,Kitchen,True,100.0,0,False
2020-01-01,AF_75,55,53,0.78,1,78.0,Air Fryer 7.5L,Kitchen,True,96.36,2,True
2020-01-01,BL_CHOP,48,44,0.67,1,67.0,Chopper Blender,Kitchen,True,91.67,4,True
2020-01-01,BL_KIT,60,56,0.78,1,78.0,Kitchen Blender,Kitchen,True,93.33,4,True
2020-01-01,BL_IND,61,57,0.79,1,79.0,Industrial Blender,Industrial,True,93.44,4,True
2020-01-01,ESP,52,49,0.93,1,93.0,Espresso Machine,Kitchen,True,94.23,3,True
2020-01-01,SW,57,54,0.88,1,88.0,Sandwich Maker,Kitchen,True,94.74,3,True
2020-01-01,MX_KIT,43,41,0.71,1,71.0,Kitchen Mixer,Kitchen,False,95.35,2,True
2020-01-01,MX_IND,40,40,0.7,0,70.0,Industrial Mixer,Industrial,True,100.0,0,False
2020-01-02,FAN_STD,53,49,0.9,1,90.0,Fan,Cooling,True,92.45,4,True
2020-01-02,EX_FLAT,48,46,0.69,1,69.0,Exhaust Flat,Cooling,True,95.83,2,True
2020-01-02,EX_POLY,44,44,0.74,0,74.0,Exhaust Polygon,Cooling,False,100.0,0,False
2020-01-02,EX_CIRC,36,33,0.69,1,69.0,Exhaust Circular,Cooling,True,91.67,3,True
2020-01-02,AF_5,50,50,0.95,0,95.0,Air Fryer 5L,Kitchen,True,100.0,0,False
2020-01-02,AF_75,48,48,0.82,0,82.0,Air Fryer 7.5L,Kitchen,True,100.0,0,False
2020-01-02,BL_CHOP,54,53,0.94,1,94.0,Chopper Blender,Kitchen,True,98.15,1,True
2020-01-02,BL_KIT,44,42,0.73,1,73.0,Kitchen Blender,Kitchen,True,95.45,2,True
