sale_id,date,product_id,contract_id,qty,price,revenue
0,2020-08-07,BL_KIT,CON_9,100,3373,337300
1,2023-11-15,FAN_STD,CON_7,130,2331,303030
2,2021-12-23,MX_IND,CON_22,102,10589,1080078
3,2023-07-20,BL_IND,CON_1,125,5452,681500
4,2022-04-17,EX_FLAT,CON_4,88,1852,162976
5,2020-05-26,FAN_STD,CON_6,115,2165,248975
6,2024-04-19,AF_5,CON_19,122,4909,598898
7,2022-10-19,MX_IND,CON_8,115,6217,714955
8,2024-02-14,FAN_STD,CON_6,140,1838,257320
9,2021-08-04,EX_CIRC,CON_24,125,2795,349375
10,2024-04-20,AF_75,CON_2,101,7125,719625
11,2024-05-21,MX_IND,CON_17,122,8275,1009550
12,2024-09-15,EX_FLAT,CON_4,118,2032,239776
13,2024-12-04,BL_CHOP,CON_16,119,2135,254065
14,2022-11-13,BL_KIT,CON_21,123,3227,396921
15,2022-04-29,BL_KIT,CON_21,101,3287,331987
16,2022-07-17,BL_CHOP,CON_11,112,2148,240576
17,2021-02-28,MX_IND,CON_17,136,10120,1376320
18,2023-10-05,BL_IND,CON_1,137,5162,707194
19,2020-11-26,MX_IND,CON_15,115,10367,1192205
20,2021-03-12,FAN_STD,CON_6,121,2485,300685
21,2022-12-03,EX_FLAT,CON_4,117,2148,251316
22,2021-08-04,ESP,CON_10,124,8995,1115380
23,2020-12-04,BL_IND,CON_1,132,5467,721644
24,2023-09-28,EX_FLAT,CON_12,128,1673,214144
25,2022-04-17,SW,CON_3,134,2064,276576
26,2020-11-08,BL_CHOP,CON_5,107,2556,273492
27,2021-10-29,BL_IND,CON_1,123,5883,723609
28,2021-07-04,BL_CHOP,CON_5,124,2039,252836
29,2023-10-17,BL_KIT,CON_9,120,2573,308760
30,2021-12-12,AF_5,CON_19,129,5042,650418
31,2022-10-08,FAN_STD,CON_6,124,2692,333808
32,2020-08-30,FAN_STD,CON_7,110,2295,252450
33,2023-03-10,BL_CHOP,CON_11,141,2216,312456
34,2021-03-06,EX_FLAT,CON_4,115,2022,232530
35,2020-11-24,BL_CHOP,CON_11,113,2068,233684
36,2023-10-09,ESP,CON_13,131,7617,997827
37,2020-10-16,ESP,CON_10,118,8412,992616
38,2023-11-06,FAN_STD,CON_6,127,2980,378460
39,2021-01-02,FAN_STD,CON_6,110,2562,281820
40,2021-07-21,BL_KIT,CON_9,116,3377,391732
41,2022-11-24,AF_5,CON_19,109,6179,673511
42,2023-01-21,EX_FLAT,CON_12,127,1978,251206
43,2022-08-10,AF_75,CON_23,110,7657,842270
44,2023-09-18,AF_75,CON_2,130,6740,876200
45,2023-12-30,MX_IND,CON_22,115,9998,1149770
46,2023-12-09,MX_IND,CON_17,122,10987,1340414
47,2023-05-29,MX_IND,CON_15,117,10442,1221714
48,2023-12-08,SW,CON_3,110,2318,254980
49,2023-06-25,ESP,CON_13,120,9656,1158720
50,2020-03-30,EX_FLAT,CON_4,137,1845,252765
51,2021-01-26,BL_IND,CON_1,119,6365,757435
52,2020-10-19,BL_CHOP,CON_16,135,1866,251910
53,2023-03-07,EX_CIRC,CON_18,118,2217,261606
54,2021-03-03,AF_5,CON_19,109,4939,538351
55,2023-11-17,BL_KIT,CON_9,130,2741,356330
56,2022-11-08,ESP,CON_13,113,7234,817442
57,2023-01-18,AF_75,CON_14,112,9190,1029280
58,2021-05-05,AF_75,CON_2,131,7955,1042105
59,2020-12-26,EX_CIRC,CON_24,118,2378,280604
60,2022-04-27,EX_FLAT,CON_20,100,2011,201100
61,2023-07-19,BL_IND,CON_1,117,5080,594360
62,2021-09-25,EX_CIRC,CON_24,117,2488,291096
63,2021-01-31,FAN_STD,CON_6,119,1809,215271
64,2024-06-13,EX_CIRC,CON_24,112,2038,228256
65,2024-05-21,EX_CIRC,CON_24,117,2318,271206
66,2024-10-09,EX_CIRC,CON_18,130,2774,360620
67,2024-10-09,ESP,CON_10,122,9628,1174616
68,2022-11-16,BL_CHOP,CON_5,118,2230,263140
69,2023-01-12,SW,CON_3,137,1224,167688
70,2023-05-05,EX_FLAT,CON_4,108,1811,195588
71,2023-10-03,EX_CIRC,CON_18,123,2445,300735
72,2021-03-18,BL_CHOP,CON_5,140,2444,342160
73,2021-03-24,MX_IND,CON_8,108,11878,1282824
74,2023-05-18,AF_75,CON_14,114,6708,764712
75,2021-08-31,EX_CIRC,CON_18,101,2709,273609
76,2021-10-31,EX_FLAT,CON_4,112,2138,239456
77,2023-03-22,MX_IND,CON_8,122,10682,1303204
78,2023-11-06,EX_CIRC,CON_24,109,2276,248084
79,2021-02-08,MX_IND,CON_15,114,10078,1148892
80,2021-08-15,BL_IND,CON_1,119,5039,599641
81,2022-04-02,ESP,CON_10,116,7852,910832
82,2021-01-11,MX_IND,CON_8,139,6152,855128
83,2021-06-09,EX_CIRC,CON_18,142,2236,317512
84,2024-04-18,BL_CHOP,CON_11,109,1847,201323
85,2024-08-20,MX_IND,CON_15,129,11704,1509816
86,2022-06-04,ESP,CON_10,112,7749,867888
87,2022-08-23,MX_IND,CON_17,112,10014,1121568
88,2024-05-05,BL_CHOP,CON_5,132,2280,300960
89,2022-05-02,MX_IND,CON_15,126,10735,1352610
90,2024-06-08,ESP,CON_10,98,6837,670026
91,2024-05-14,FAN_STD,CON_7,118,2153,254054
92,2023-05-11,EX_CIRC,CON_18,124,2694,334056
93,2022-09-05,BL_IND,CON_1,93,6927,644211
94,2024-11-10,SW,CON_3,98,1625,159250
95,2022-11-27,MX_IND,CON_15,113,9952,1124576
96,2024-06-20,FAN_STD,CON_7,131,2240,293440
97,2022-10-14,AF_75,CON_2,103,9287,956561
98,2024-06-23,EX_CIRC,CON_24,118,2315,273170
99,2022-04-23,SW,CON_3,109,1893,206337
100,2022-12-08,AF_5,CON_19,119,5704,678776
101,2022-11-14,EX_FLAT,CON_20,128,1853,237184
102,2022-10-25,BL_CHOP,CON_5,115,2276,261740
103,2024-05-24,EX_FLAT,CON_20,122,1865,227530
104,2022-05-19,AF_75,CON_23,139,9381,1303959
105,2023-04-06,FAN_STD,CON_6,113,2346,265098
106,2024-10-26,AF_75,CON_14,137,8856,1213272
107,2022-08-15,AF_75,CON_2,125,6655,831875
108,2020-03-07,MX_IND,CON_8,131,7491,981321
109,2024-01-15,EX_CIRC,CON_18,124,2116,262384
110,2023-12-18,BL_CHOP,CON_11,115,2423,278645
111,2021-09-26,MX_IND,CON_8,123,6256,769488
112,2022-12-15,AF_75,CON_14,125,7414,926750
113,2020-05-17,EX_FLAT,CON_20,136,1829,248744
114,2020-12-21,SW,CON_3,123,1272,156456
115,2024-09-09,BL_CHOP,CON_11,114,2575,293550
116,2023-05-26,ESP,CON_13,118,9754,1150972
117,2020-04-19,FAN_STD,CON_6,129,2929,377841
118,2021-02-15,FAN_STD,CON_6,118,2069,244142
119,2024-06-20,EX_FLAT,CON_12,107,2151,230157
120,2023-10-08,BL_CHOP,CON_5,125,1811,226375
121,2020-08-20,EX_CIRC,CON_18,136,2060,280160
122,2023-07-07,BL_KIT,CON_9,129,2935,378615
123,2022-11-09,ESP,CON_10,139,7752,1077528
124,2023-10-10,BL_CHOP,CON_11,112,2581,289072
125,2023-01-23,MX_IND,CON_15,115,10303,1184845
126,2020-07-16,AF_75,CON_2,120,8055,966600
127,2021-07-27,FAN_STD,CON_6,108,2403,259524
128,2023-07-07,BL_CHOP,CON_16,113,2584,291992
129,2023-09-08,MX_IND,CON_15,119,10798,1284962
130,2021-07-29,EX_FLAT,CON_12,131,1972,258332
131,2024-12-18,AF_75,CON_2,109,9255,1008795
132,2021-09-11,BL_IND,CON_1,127,4430,562610
133,2021-10-16,AF_75,CON_2,114,6629,755706
134,2023-03-10,BL_KIT,CON_9,103,2562,263886
135,2024-04-18,ESP,CON_10,127,9559,1213993
136,2022-04-04,BL_CHOP,CON_11,132,1901,250932
137,2021-09-15,BL_CHOP,CON_16,124,2524,312976
138,2021-12-12,BL_CHOP,CON_5,138,2584,356592
139,2020-04-10,AF_5,CON_19,118,4796,565928
140,2022-11-01,BL_CHOP,CON_5,141,2009,283269
141,2021-07-07,BL_KIT,CON_9,124,2739,339636
142,2020-09-01,EX_FLAT,CON_12,123,1718,211314
143,2024-10-20,EX_FLAT,CON_20,113,1799,203287
144,2021-02-07,ESP,CON_10,118,8226,970668
145,2024-05-23,SW,CON_3,108,1965,212220
146,2020-02-13,EX_CIRC,CON_24,117,2400,280800
147,2022-12-07,BL_IND,CON_1,114,4122,469908
148,2024-11-12,BL_KIT,CON_9,123,2566,315618
149,2020-02-24,BL_CHOP,CON_5,131,2283,299073
150,2020-03-30,EX_FLAT,CON_4,126,2071,260946
151,2024-02-12,BL_IND,CON_1,97,5853,567741
152,2023-09-06,BL_CHOP,CON_16,114,1897,216258
153,2020-02-10,MX_IND,CON_22,125,11206,1400750
154,2021-05-16,ESP,CON_13,103,9900,1019700
155,2024-09-01,BL_KIT,CON_21,144,2824,406656
156,2023-01-25,EX_FLAT,CON_20,109,1826,199034
157,2024-04-11,FAN_STD,CON_6,114,2930,334020
158,2022-04-30,MX_IND,CON_15,125,9512,1189000
159,2022-09-15,EX_FLAT,CON_12,121,1739,210419
160,2022-07-24,FAN_STD,CON_7,127,1812,230124
161,2020-01-03,EX_CIRC,CON_18,115,2445,281175
162,2020-08-09,BL_CHOP,CON_5,117,2213,258921
163,2022-01-31,ESP,CON_10,132,9572,1263504
164,2020-08-29,FAN_STD,CON_7,119,2934,349146
165,2023-10-17,EX_FLAT,CON_12,122,2063,251686
166,2023-01-29,MX_IND,CON_17,124,10035,1244340
167,2024-03-02,EX_CIRC,CON_24,110,2095,230450
168,2021-08-20,EX_FLAT,CON_4,122,1902,232044
169,2024-05-26,MX_IND,CON_8,110,7067,777370
170,2023-02-18,SW,CON_3,107,1650,176550
171,2023-03-28,EX_CIRC,CON_24,127,2788,354076
172,2024-02-02,MX_IND,CON_22,127,8820,1120140
173,2022-10-16,BL_CHOP,CON_16,120,1886,226320
174,2021-09-17,EX_CIRC,CON_24,127,2235,283845
