SKU,Product,Category,Revenue,Units Sold,Tier,Cumulative %
FAN_STD,Fan,Cooling,0.0,155878,C,0.0
EX_FLAT,Exhaust Flat,Cooling,0.0,228455,C,0.0
EX_POLY,Exhaust Polygon,Cooling,0.0,0,C,0.0
EX_CIRC,Exhaust Circular,Cooling,0.0,151972,C,0.0
AF_5,Air Fryer 5L,Kitchen,0.0,71872,C,0.0
AF_75,Air Fryer 7.5L,Kitchen,0.0,222735,C,0.0
BL_CHOP,Chopper Blender,Kitchen,0.0,221917,C,0.0
BL_KIT,Kitchen Blender,Kitchen,0.0,143318,C,0.0
BL_IND,Industrial Blender,Industrial,0.0,70433,C,0.0
ESP,Espresso Machine,Kitchen,0.0,150928,C,0.0
SW,Sandwich Maker,Kitchen,0.0,81046,C,0.0
MX_KIT,Kitchen Mixer,Kitchen,0.0,0,C,0.0
MX_IND,Industrial Mixer,Industrial,0.0,301155,C,0.0
