SKU,Product,Category,Total Units Sold,Revenue,Avg Daily Units,Peak Daily Units,Last 30d Avg,Unit Price
MX_IND,Industrial Mixer,Industrial,301155,2710395000.0,119.79,158,119.95,9000.0
AF_75,Air Fryer 7.5L,Kitchen,222735,1781880000.0,119.88,155,120.6,8000.0
ESP,Espresso Machine,Kitchen,150928,1207424000.0,119.97,163,118.87,8000.0
BL_CHOP,Chopper Blender,Kitchen,221917,488217400.0,120.08,162,121.44,2200.0
EX_FLAT,Exhaust Flat,Cooling,228455,434064500.0,119.99,157,120.05,1900.0
BL_KIT,Kitchen Blender,Kitchen,143318,429954000.0,120.33,160,122.58,3000.0
AF_5,Air Fryer 5L,Kitchen,71872,395296000.0,120.19,161,119.1,5500.0
BL_IND,Industrial Blender,Industrial,70433,387381500.0,119.78,159,121.2,5500.0
FAN_STD,Fan,Cooling,155878,374107200.0,119.63,156,121.72,2400.0
EX_CIRC,Exhaust Circular,Cooling,151972,364732800.0,119.76,168,118.87,2400.0
SW,Sandwich Maker,Kitchen,81046,149935100.0,121.14,161,123.88,1850.0
